# hash	name
# Recovered by CRC32 dictionary-matching every ASCII string constant in FarCry2_server's
# rodata + symbol table against every hash actually seen in a real save's exported
# PersistenceDB tree (byte-exact match, both directions verified via Ghidra MCP over the
# live fc2.gpr project). See reverse/dunia/savegame_format.md for methodology and caveats.
# Name-only: this table does not assert a wire type (see SaveGameFieldCatalog for that).
141D3CE3	CompletedGrinMissions
6AF4F42B	WinningFaction_Act1
B553185C	InsideTerminalFOV
A44B257E	PickedUpAmmo
7A878B99	MapDesired
CD282EF6	LOSING_FACTION_LT
10A3386C	JackalTapes
9F60B705	FIRST_LT_WARLORD
51386C4B	RingTriesCount
C2FB5094	CurrentFX
49F2CDE8	CurrentInfamyTime_Red
6223353C	MISSION_BUDDY_A3SM12
2E986426	LOSING_FACTION_WARLORD
17D004D9	staminaActionLock
B46E6B81	EntryRadius
B757ACC8	TeleportBuddyMission_Act2
7EE7517B	NextExit
8EFEB8C4	LastBaseInfamyDisplayed
AAEDA270	DescriptionThreshold2
0EEFD4CD	MISSION_BUDDY_A1LM06
04D42F86	WINNING_FACTION_WARLORD
2873D976	LastPromptName
63D02B8D	WaterLevels
E5091C64	WINNING_FACTION_A2
4CB1A158	LOSING_FACTION_BOSS
9B895292	NextRequestedKillEvent
97E68577	MISSION_BUDDY_A1LM05
1B2B61C1	NextEvent
B1B8D7A7	TeleportSignal
DFA34B91	NextKillEvent
5F4543C8	bBroadcastEnabled
0D4A23E4	NextCallbackID
F3FDA591	WinningFaction_Act2
6F11C160	LOSING_FACTION_HELPER_BOSS
21953794	LastVehicle
AA26DADE	vNoDesertPos
343F7B6B	ActiveDZMessageID
BD401B0A	strState
FE885BB4	MovieSequencesToUnload
6DEEADD8	SafeHouseHandle
A49EBCC9	RemainingPills
33E4F3CA	DescriptionThreshold1
73A4EE5F	DisabledByScripts
5790511E	NextRequestedExit
AC1D5486	DominoDebugEnabled
4D53ADDD	CurrentInfamyTime_Blue
C6B74969	iBaseInfamyLevel
E73078B3	RescueBuddySpawning
3E489E8B	MISSION_BUDDY_A2LM07
5B4FB9BE	ResourceEntries
BD870156	CombatSituation
635C52FD	TimeSinceLastAttack
A4E21EF6	Cameras
1C440A7E	Playing
76F35CD2	FIRST_LT
370BDE93	RingPauseCount
6B5CCD7B	DefenceReversalCallback
5F9B0792	TopLevel
D49CF0F2	ActionMapStack
1BC3E69A	hidRetainedRegisteredEvents
7716861C	ActionMapId
599D2D54	DEFREV_LOCN
23938D64	NeutralArmy
B8060F86	ASSIGNED_A2BU05
68BF1F2E	PlayerMarkerEntity
3535A5C8	hidMalariaAnimationLoaded
A004CA5D	WINNING_HCLEAN_UFLL
D9F0B38C	MISSION_BUDDY_A2LM09
F7E79393	ActiveMissions
57395B45	MISSION_BUDDY_A2LM12
2DF86179	PreviousUpDownValue
40455D98	ForwardToMagma
DA1784AA	fBurnDamageRate
EEEBF7C2	RescueBuddySpawnCallback
2E12B421	StormHour
7E852042	MISSION_BUDDY_A1LM03
D18AF445	MISSION_BUDDY_A2SM09
988A13DB	CompletedConvoyMissions
811709EB	ASSIGNED_A1BU08
AE26D969	FirstStoryMissionCompleted
C5B09C61	GhostDB
B7CB1862	LOSING_FACTION_HELPER_WARLORD
FF4C81D0	ChSynIdx
FD70EF1B	CurrentSequence
200F0EBB	ExitHandle
7ADE84AA	NoiseFOVTarget
45140291	SWITCH_FACTION_BOSS
264830AA	TeleportPlayerPos
152405AA	MISSION_BUDDY_A3SM13
C7F8368C	WindOverideEnable
669AA24E	fBurnDamageMax
DD0FEBD1	RequestLockAnimationResource
AD6EFA19	InitalTestDone
FCFAD692	WINNING_HCLEAN_APR
26FCB23F	START_FACTION_BOSS
EF92A722	IsScriptedDeath
CAED9ABE	RescueBuddyChangedCallback
4FB3DDFF	SavedMapTexture
1C2196DC	GreyArmy
6B7BF3BD	MissionsSinceBuddyUnlock
35AF4C67	CompletedAssassinationMissions
36445026	idGenerator
E0E1B5E1	MISSION_BUDDY_A1LM04
9584D361	InfamyProgressionLevel
D67EE5C5	RequestedFXs
83F460A2	EntryIsSEPDynamic
83FFCD90	EventMercToKill
78094603	PendingStartId
DC5794D6	LOSING_FACTION_A2
5C9BE4A1	m_lastInterestState
187C41BF	PartnerTapes
8D42A396	ShouldPlayerBeKilled
9E619665	LOSING_FACTION_HELPER_A1
8D000796	WeaponKills
2E5EFD72	TeleportBuddyMission_Act1
9D954E68	EntryPos
DE4D52C6	bHealMalariaFirst
F666F524	ScriptedAIModeEnabled
F9457CDE	CuSynIdx
432EC4E9	HeardGreetings_Red
4CB19856	MiSynIdx
3632D942	MISSION_BUDDY_A2SM07
79951428	PhoneCallReceived
DDEA92E6	DescriptionThreshold3
6F3BAC41	MessageDelayCount
D1B5ABE3	SECOND_LT_FACTION
5F768173	PlayerDied
362B464F	CradleGunIdleTimer
201176A3	RainEvaluator
B5FC6350	BaseInfamyReward_Blue
73F55A61	IsSunLight
3A8909F7	LastDiamondCount
305F70C8	bOnDesertZone
64FC3287	TeleportPMSRandValue
C484473B	FactionSwitchCnt
4C0D7CC6	TravelfadeOutTimer
136ABEB8	m_lastStandByDisorganizedResponseState
4861C962	WINNING_FACTION_HELPER_A2
195B4592	NearPickupPile
AAC1A11D	PreviousLeftRightValue
CD643FBC	iNbOfDaysInThisWorld
3A5E4142	HeardGreetings_Blue
3D6CE13B	RandCoverage
B9A2F1D7	IsBuddyBetrayal
4C0A9078	Listeners
4B8B3121	Callbacks
7BCD1A71	Delays
0A3AFFB2	Variables
B2EA808B	Childrens
F2F38E4F	Sinks
B50DD1C5	Visible
47AEB4FF	Velocity
F40CCD04	Enable
016DB2D0	Loop
0C57B384	StartTime
64A3FDE0	LifeTime
7414FA07	Invincible
053D48B3	Term
E09CB0F3	Running
9593B92A	VisibilityNodes
F24C741B	Task
258E5213	TaskName
5FDACBA0	Mission
CAC46EBE	Flags
E8F53F7A	CurrentState
33D8746B	Function
0DC15C5D	Data
0A2FBE8B	SingleFact
BF298A20	Item
C013F423	TargetId
DE8B019C	AIObjectID
B4D48994	Reserved
962C25EF	Handle
DC43B23E	MaxAmmo
8D533E84	UnlimitedAmmo
4177D348	Command
C729B208	StateIndex
6D97690D	Resources
2FE3C4B9	OwnerId
2DA17977	User
542B527C	Events
0C3C8F59	Slot
790009E3	Message
0926AF6B	Updated
5B5D22F6	Indestructible
69F44BD4	AutoReload
B809DECD	Completed
F917AD08	JamCounter
2BCD1DB0	AmmoInClip
7F29E296	Duration
AC016BC1	Group
5EB87A8B	Start
F38C39DA	LookDistance
C799CB65	Anim
724AFF0B	MoveId
079E4085	MaxValue
B010395A	LookAngles
1722D7A2	Track
FB7DD4EB	TargetID
5103E4C6	Participant
0C212F36	army
3A771143	world
CA367725	Contacts
83DFDFA4	Contact
16CA79EF	Driver
D00AFAA7	Rotation
32F5CAB8	Translation
CF96F4AB	Fact
1B869B71	BoneIndex
B85AB17D	Destination
1011CC8D	PathPoints
A8E33E25	FlagField
EAE0B274	Entry
73E7E230	UserType
7B8BEE07	DoorBone
7207A985	Brain
3D0B49D0	Values
95A01C3B	Gravity
57A035C7	GhostEntity
